Date,Link,Message
2025-07-28 21:47:17,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7354340159460405248,Congrats Siddharth! ðŸŽ‰
2025-05-12 09:45:00,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7327510173751697409,I bet a kernel-level custom FRAPS-like tool could by pass this.
2025-05-04 00:46:37,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7324127397325230080,Well said
2025-05-04 00:35:05,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7323586307870351360,Congrats Nasos! ðŸŽ‰
2025-02-14 00:32:59,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7293343066394918913,Congrats John! ðŸŽ‰
2024-09-09 20:58:30,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7237934497709617152,Congratulations!!
2024-09-08 00:08:09,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7226361843613597696%2C7226361845253586944%29,"Out of personal experience, when you start dealing with OS's try to boot them from different devices and storage units, keep installing and experimenting. That's the easiest way to find out the different idiosyncrasies amongst OS and the way they need to set up in order to achieve high performance in your systems"
2024-07-12 09:00:26,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7206714682248736768%2C7206714684291330050%29,"The MOST important thing in customer service after 14 years of experience:
 BE GENUINELY INTERESTED to listen and help others, if you are not, the customer will know, they are humans too and they understand. 
 Also, going above and beyond to help them can be really useful."
2024-06-25 02:04:13,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7211163702274740224,Congratulations Sid!! ðŸŽŠ
2024-05-08 04:59:12,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7193807108713164801,Charles Corley probably you would say the same 13 years ago for bitcoin ðŸ˜…
2024-04-04 04:21:24,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7177356470873686016%2C7177356475588063232%29,"Ways to get started:
1) First create a check-list of equipment and software that you need to complete your first jobs depending on the requirements.
2) Seek financial assistance from the government. Australian government grants business loans for Australian businesses.
3) Ask in LinkedIn or online for digital marketing campaigns. There's a free course by Google on digital marketing."
2024-03-21 05:28:25,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7176402567474683904,Congrats Mingzhe!! I wish you all success from now on!!
2024-03-18 05:28:14,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7174663248607158274,Thank you John!
2024-03-17 07:28:05,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7170816308991737858%2C7170816310518513665%29,"First of all, everyone needs to remember that the best Operating System is the one that will make our project work better and achieve better delivery and operations."
2024-03-17 00:17:24,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7172306430652350464%2C7172306432355151872%29,"As a FT steelfixer (construction) while doing an internship (DevOps + Fullstack) in the evenings and studying in two Universities I have to say that it's a process of trial and error. 
 You really have to ask yourself how fast and where you want to be and then act accordingly.
 Burnout can be treated with a good sleep which I do take in the Weekends or sometimes quick naps during the day.
 Make sure you organize your routine effectively and your studying/learning techniques and you will find heaps of spare time."
2024-03-10 06:27:20,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7172477354668150784,"Thank you!"
2024-01-26 21:30:08,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7148737630082433024%2C7148737631923744768%29,"1)Always start by knowing your budget.
2)Find all the potential hardware requirements.
3) Find all the potential peripherals to match your hardware requirements.
4) Remember to stay in budget as long as your requirements are met (especially when we talk about cloud)."
2024-01-26 21:26:32,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7155989218949840896%2C7155989221239930880%29,"1) Make sure you utilize any cloud monitoring service you can and prepare logs.
2)Prepare the billing statements.
3)Redifine the task into categories and start testing every aspect
4) Create a checklist and stick to it so you can avoid mistakes."
2024-01-26 21:20:33,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7155985524329955328%2C7155985526129311744%29,"Sometimes AI is complicating things, while hardware, software and network can work in combination for us to have VM's in the Cloud, the real question is:
-SaaS? (Software as a Service?)
-PaaS? (Platform as a Service?)
-IaaS? (Infrastructure as a Service?)
-DBaaS? (DataBase as a Service?)
-CaaS? (Code as a Service?)

With the most famous being the first three of the list: (IaaS, PaaS, SaaS)."
2024-01-26 21:16:19,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7155985524329955328%2C7155985526095814656%29,"TOP CLOUD PROVIDERS IN 2024 Q1:
-AWS (most common)
-AZURE (better for data)
- GCP (User Friendly)
-IBM (Corporate?)
-ORACLE (Discovery phase)"
2024-01-26 21:09:47,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7155637013239468032%2C7155637015110197249%29,"Make sure the company you are paying for your email services has been Audited by a well known company (then you know you could avoid 80% of the dangers out there). Learn the best security practices for your systems too because a lot of the times we get compromised by our own mistakes. Make sure there is encryption for privacy and even better, a decentralized service."
2024-01-26 21:07:09,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7155637013239468032%2C7155637015118548993%29,"Make sure you have a list of your needs, a list of future needs and a list with all the possible email services. With the first two you can find the third."
2024-01-26 21:04:44,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7155637013239468032%2C7155637015022071808%29,"Some tips for defining the best host for your emails:
 First of all, know what you need.
 Secondly, do a thorough research on the current providers and their plans
 Thirdly, find the plan that suits you the most without overspending in unused services.
 Make sure you security is not compromised.
 Happy mailing!"
2024-01-23 18:24:42,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7155139317848309760,Congrats Michael
